jamb_year_most_recent,Failure,Success
2020,0.6197183098591549,0.38028169014084506
2021,0.6222222222222222,0.37777777777777777
2022,0.559322033898305,0.4406779661016949
2023,0.6329113924050633,0.3670886075949367
2024,0.6357615894039735,0.36423841059602646
2025,0.5555555555555556,0.4444444444444444
2026,0.5835878860774475,0.4164121139225525
2027,0.5776848486069905,0.42231515139300946
2028,0.5717818111365336,0.4282181888634664
2029,0.5658787736660766,0.43412122633392336
2030,0.5599757361956207,0.4400242638043793
